X,Y,Height_Ft,Name,Trail,Poplarity,Pitches,Comments,File_path,Difficulty,Anchors,ClimbClass,Descent,Fixed_Gear,Type,ID
-108.7201046,39.07134851,200,Cold Feet 2,Monument Canyon Trail,1,2,1 set of anchors,P:\Photos\Climbing Survey 2014\MCTN20.JPG,5.10,2,2,Rappel/Lower,Yes,trad,MCTN20
-108.7211153,39.0972031,70,Unknown,Monument Canyon Trail,1,1,Single bolt 70ft,P:\Photos\Climbing Survey 2014\MCBS40.JPG,5.10,1,1,Rappel/Lower,Yes,trad,MCBS40
-108.7224923,39.09620349,100,Unknown,Monument Canyon Trail,1,2,Slings and drilled angle for anchor,P:\Photos\Climbing Survey 2014\MCBN41.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MCBN41
-108.73638,39.11041764,100,Hair Boatin,Hike From Balanced Rock,1,1,2 bolts for anchors and webbing.,P:\Photos\Climbing Survey 2014\FCBS10.JPG,5.10,2,1,Rappel/Lower,Yes,trad,FCBS10
-108.7352369,39.11127521,200,Z-Row Gravity,Road,3,2,2 sets of anchors,P:\Photos\Climbing Survey 2014\FCBE13.JPG,5.10,4,2,Rappel/Lower,Yes,trad,FCBE13
-108.703927,39.10106265,40,Unknown,Monument Canyon Trail,1,1,2 bolts visible,P:\Photos\Climbing Survey 2014\MCBS02.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MCBS02
-108.7089218,39.10139352,90,Route 3,Monument Canyon Trail,4,1,2 drilled angle for anchors,P:\Photos\Climbing Survey 2014\MCBS21.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MCBS21
-108.7161482,39.09938019,80,Big Bertha,Monument Canyon Trail,1,1,2 bolts for anchors,P:\Photos\Climbing Survey 2014\MCBS26.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MCBS26
-108.7155561,39.09913613,50,Unknown,Monument Canyon Trail,1,1,Single bolt  visible,P:\Photos\Climbing Survey 2014\MCBS28.JPG,5.10,2,1,Rappel/Lower,Yes,trad,MCBS28
-108.677421,39.03151953,200,Red Canyon Tower,Red Canyon Trail,1,2,2 sets of anchors,P:\Photos\Climbing Survey 2014\RCTE01.jpg,5.10,4,1,Rappel/Lower,Yes,trad,RCTE01
-108.7320225,39.03680341,70,Suction Point,Suction Point Trail,1,1,"One anchor set, old bolts and webbing",P:\Photos\Climbing Survey 2014\UCBE20.JPG,5.10,2,1,Rappel/Lower,Yes,trad,UCBE20
-108.666845,39.05624602,40,On Fire,Liberty Cap,4,1,Bolted anchors with chains,,5.10,2,1,Rappel/Lower,Yes,trad,LCBN05
-108.7261617,39.1030034,320,Fast Draw,Rappel In,5,2,2 sets of anchors 6 bolts,P:\Photos\Climbing Survey 2014\WCTE07.JPG,5.10,4,1,Rappel/Lower,Yes,trad,WCTE07
-108.6347382,39.02308997,150,Unknown2,No Thoroughfare Trail,1,2,Estimated difficulty. can only see second pitch anchor,,5.10,2,2,Rappel/Lower,Yes,trad,NTBN06
-108.6425361,39.03509324,70,Unknown,Monument Bench Trail,1,1,One set of anchors,,5.10,2,1,Rappel/Lower,Yes,trad,CCBN14
-108.7009785,39.08291871,300,Ccc Route,Gold Star Canyon Trail,3,1,Old pipes and chipped steps lead up to the cliff line,,5.10,0,1,Walk Off,Yes,trad,GSBE07
-108.6591373,39.01720169,90,Freedom Of Expression,N/A,1,1,Anchor visible with chain   5 bolts,P:\Photos\Climbing Survey 2014\NTBS18.JPG,5.11,2,1,Rappel/Lower,Yes,mixed,NTBS18
-108.7060097,39.10174043,200,Euro Route,Monument Canyon Trail,4,2,4 bolts 2 bolts for anchors,P:\Photos\Climbing Survey 2014\MCBS13.JPG,5.11,2,1,Rappel/Lower,No,mixed,MCBS13
-108.7081797,39.10119228,300,Dihedral 3,Monument Canyon Trail,1,3,5 protection bolt 3 sets ofanchors,P:\Photos\Climbing Survey 2014\MCBS16.JPG,5.11,6,1,Rappel/Lower,Yes,mixed,MCBS16
-108.7153177,39.09910219,90,Tom And Andy,Monument Canyon Trail,1,1,2 bolts for anchors 2 bolts for protection,P:\Photos\Climbing Survey 2014\MCBS27.JPG,5.11,2,1,Rappel/Lower,Yes,mixed,MCBS27
-108.7055748,39.10176948,115,Higher Mind Dynamics,Monument Canyon Trail,3,1,11 bolts for protection 2 bolts for anchors with chains,P:\Photos\Climbing Survey 2014\MCBS08.JPG,5.11,2,1,Rappel/Lower,Yes,sport,MCBS08
-108.706546,39.1018137,120,Wingate Warrior,Monument Canyon Trail,4,1,13 bolts for protection  3 bolts for anchors,P:\Photos\Climbing Survey 2014\MCBS14.JPG,5.11,3,1,Rappel/Lower,No,sport,MCBS14
-108.6873968,38.99509174,150,Butt Crack Tower,No Thoroughfare Trail,1,1,2 bolts on top.,P:\Photos\Climbing Survey 2014\NTTE03.JPG,5.11,2,1,Rappel/Lower,Yes,trad,NTTE03
-108.6547224,39.01947539,70,Unknown4,N/A,1,1,No anchor visible.,P:\Photos\Climbing Survey 2014\NTBN11.JPG,5.11,0,1,Walk off,No,trad,NTBN11
-108.6786583,39.06733654,85,Chocolate Variety Show,Liberty Cap To Monument Bench,3,1,Two bolts at top,P:\Photos\Climbing Survey 2014\TTBE02.JPG,5.11,2,1,Rappel/Lower,Yes,trad,TTBE02
-108.6777779,39.06764265,95,Crescent,Liberty Cap To Monument Bench,2,1,Two bolts at top,P:\Photos\Climbing Survey 2014\TTBE03.JPG,5.11,2,1,Rappel/Lower,Yes,trad,TTBE03
-108.6775745,39.06994078,150,Unknown2,Liberty Cap To Monument Bench,1,3,Slings mid route doesn't summit,P:\Photos\Climbing Survey 2014\TTTE05.JPG,5.11,0,1,Rappel/Lower,Yes,trad,TTTE05
-108.6807184,39.07123182,100,Unknown 1,Liberty Cap To Monument Bench,1,1,Two bolts anchor,P:\Photos\Climbing Survey 2014\MBTE02.JPG,5.11,2,1,Rappel/Lower,Yes,trad,MBTE02
-108.6626215,39.01350517,70,Unknown Offwidth,No Thoroughfare Trail,1,1,2 bolts anchor visible. webbing,P:\Photos\Climbing Survey 2014\NTBE18.JPG,5.11,2,1,Rappel/Lower,Yes,trad,NTBE18
-108.6554482,39.04250757,110,Wiggle Worm,Red Canyon Access Trail,4,1,Two piton  w\sling for anchor,P:\Photos\Climbing Survey 2014\RCBE02.JPG,5.11,2,1,Rappel/Lower,Yes,trad,RCBE02
-108.6555958,39.04256421,100,Catch 22,Red Canyon Access Trail,2,1,Two bolts   w\chain  for anchor,P:\Photos\Climbing Survey 2014\RCBE03.JPG,5.11,2,1,Rappel/Lower,Yes,trad,RCBE03
-108.6484034,39.03856822,170,"Plainview Tower, Ronin",Red Canyon Access,1,2,Anchors at top,P:\Photos\Climbing Survey 2014\CCTW01.JPG,5.11,2,1,Rappel/Lower,Yes,trad,CCTW01
-108.6484099,39.03856603,130,"Plainview Tower, Mid Summer's Night Dream",Red Canyon Access,1,1,"Upper Variation, no fixed anchor",P:\Photos\Climbing Survey 2014\CCTW02.JPG,5.11,0,1,Rappel/Lower,No,trad,CCTW02
-108.7021031,39.03637822,60,Mojito,Upper Ute,1,1,Two bolts anchor,P:\Photos\Climbing Survey 2014\UTBS06.JPG,5.11,2,1,Rappel/Lower,Yes,trad,UTBS06
-108.7031438,39.09376719,300,Skin Industries,Monument Bench,1,3,3 sets ofanchors 300ft long,P:\Photos\Climbing Survey 2014\MBBE05.JPG,5.11,2,2,Rappel/Lower,Yes,trad,MBBE05
-108.7034521,39.07241699,240,Unknown Tower,Monument Canyon Trail,1,3,3 sets of anchors; 1 stuck cam,P:\Photos\Climbing Survey 2014\MCTN15.JPG,5.11,6,2,Rappel/Lower,Yes,trad,MCTN15
-108.7043302,39.03374955,200,Astro Bunny,Rap From Road,2,2,"2 sets of anchors, with 2 bolts and chains",,5.11,4,1,Rappel/Lower,Yes,trad,UCBT01
-108.6347963,39.02314587,200,Unknown,No Thoroughfare Trail,1,3,Estimated difficulty,,5.11,2,2,Rappel/Lower,Yes,trad,NTBN05
-108.7054708,39.10174335,100,Rainbow Bridges,Monument Canyon Trail,5,1,10 bolts for protection 2 bolts for anchors with chains,P:\Photos\Climbing Survey 2014\MCBS07.JPG,5.12,2,1,Rappel/Lower,Yes,sport,MCBS07
-108.7056463,39.10175952,115,Friends Cant Be Trusted,Monument Canyon Trail,1,1,12 bolts for protection 2 bolts for anchors with chains,P:\Photos\Climbing Survey 2014\MCBS09.JPG,5.12,2,1,Rappel/Lower,Yes,sport,MCBS09
-108.6679021,39.05593001,70,Hueco Me Up When It's Over,Liberty Cap,1,1,2 bolt anchor with chains,P:\Photos\Climbing Survey 2014\LCBE18.JPG,5.12,2,1,Rappel/Lower,Yes,toprope,LCBE18
-108.6624068,39.01352925,100,Lost Arrow,No Thoroughfare Trail,1,1,2 bolts anchor visible. webbing,P:\Photos\Climbing Survey 2014\NTBE16.JPG,5.12,2,1,Rappel/Lower,Yes,trad,NTBE16
-108.6997145,39.03539084,120,Barney Goes To The Monument,Upper Ute,1,2,Two bolts anchor,P:\Photos\Climbing Survey 2014\UTBS09.JPG,5.12,2,1,Rappel/Lower,Yes,trad,UTBS09
-108.6817227,39.05525205,80,Unknown,Upper Ute,1,2,Bolts and webbing visible looks like there is a second pitch,P:\Photos\Climbing Survey 2014\UTBS13.JPG,5.12,2,1,Rappel/Lower,Yes,trad,UTBS13
-108.7209029,39.09707111,170,Unknown,Monument Canyon Trail,1,2,2 sets of bolts for anchors,P:\Photos\Climbing Survey 2014\MCBS39.JPG,5.12,4,1,Rappel/Lower,Yes,trad,MCBS39
-108.7260289,39.10286836,300,Medicine Man,Rappel In,5,4,3 anchor sets 5 protection bolts,P:\Photos\Climbing Survey 2014\WCTS09.JPG,5.12,6,2,Rappel/Lower,Yes,trad,WCTS09
-108.7170654,39.099241,100,Monolith Unknown,Monument Canyon Trail,1,1,1 sets ofanchors,P:\Photos\Climbing Survey 2014\MCBS30.JPG,5.12,2,1,Rappel/Lower,Yes,trad,MCBS30
-108.7172065,39.09930543,120,Taming Of The Shrew,Monument Canyon Trail,1,1,1 sets ofanchors,P:\Photos\Climbing Survey 2014\MCBS31.JPG,5.12,2,1,Rappel/Lower,Yes,trad,MCBS31
-108.6316201,39.0257286,85,Easy Overhang,Devils Kitchen Trail,1,1,,P:\Photos\Climbing Survey 2014\DKTN05.JPG,5.2,2,1,Rappel/Lower,Yes,trad,DKTN05
-108.6580795,39.03030849,200,CCC Route,Red Canyon Access,1,2,Old CCC route with chipped steps and pipes sticking out. look sto go to the top,,5.2,0,1,Walk off,Yes,trad,CCBE10
-108.7150458,39.04155042,60,Slab Routes,Rim Rock Road,1,1,Several low angle slabs that utilize trees for anchors for beginners,,5.6,0,1,Walk Off,No,toprope,UCBN30
-108.6585513,39.03903519,50,Dihedral 1,Red Canyon Access,1,1,Route is in the precambrian wash,,5.7,0,1,Walk Off,No,trad,RCBE04
-108.6586865,39.03892348,55,Dihedral 2,Red Canyon Access,1,1,Route is in the precambrian wash,,5.7,0,1,Walk Off,No,trad,RCBE05
-108.7041304,39.10116193,50,Dudley-Sac,Monument Canyon Trail,1,1,2 old bolts visible,P:\Photos\Climbing Survey 2014\MCBS03.JPG,5.8,2,1,Walk off,Yes,mixed,MCBS03
-108.6935677,39.08964351,30,Unknown,Gold Star Canyon Access,2,1,5 bolts and anchors,P:\Photos\Climbing Survey 2014\GSBN01.JPG,5.8,2,1,Rappel/Lower,Yes,sport,GSBN01
-108.7058805,39.10174051,70,Dihedral 2,Monument Canyon Trail,1,1,Rap from tree,P:\Photos\Climbing Survey 2014\MCBS12.JPG,5.8,0,1,Rappel/Lower,No,toprope,MCBS12
-108.733005,39.1020929,30,Saddle Horn 3,Road,1,1,Chalk present,P:\Photos\Climbing Survey 2014\MCBS59.JPG,5.8,0,1,Walk off,No,toprope,MCBS59
-108.7044629,39.10136784,80,Mormon Tea,Monument Canyon Trail,1,1,2 drilled angle for anchors  visible,P:\Photos\Climbing Survey 2014\MCBS04.JPG,5.8,2,1,Rappel/Lower,Yes,trad,MCBS04
-108.7057818,39.10172773,200,Dihedral 1,Monument Canyon Trail,1,2,2 sets ofanchors and chains,P:\Photos\Climbing Survey 2014\MCBS10.JPG,5.8,4,1,Rappel/Lower,Yes,trad,MCBS10
-108.7048948,39.09341384,100,Ccc Route,Monument Bench Trail,1,1,Old ccc route with pipes and chipped steps up a near vertical wall.,,5.8,0,1,Walk off,Yes,trad,MCBW53
-108.7319,39.10768828,300,Otto's Ladder,Hike From Balanced Rock,2,2,Very old route with iron spikes driven into wall and newer pipes up higher. 15-20 spikes,P:\Photos\Climbing Survey 2014\FCTN15.JPG,5.8,0,1,Rappel/Lower,Yes,trad,FCTN15
-108.6937636,39.0895033,40,Unknown,Gold Star Canyon Access,1,1,4 bolts and anchors,P:\Photos\Climbing Survey 2014\GSBS02.JPG,5.9,2,1,Rappel/Lower,Yes,sport,GSBS02
-108.6939375,39.0893234,30,Unknown,Gold Star Canyon Access,2,1,Anchors with chains,P:\Photos\Climbing Survey 2014\GSBE03.JPG,5.9,2,1,Rappel/Lower,Yes,toprope,GSBE03
-108.6444422,39.02849269,80,Unknown2,N/A,1,1,Very old piton and bolted anchor. behind pillar,P:\Photos\Climbing Survey 2014\NTBN09.JPG,5.9,3,1,Drop down,Yes,trad,NTBN09
-108.6466649,39.02914344,50,Unknown,Bushwack,1,1,Rap off tree at top. offwidth chimney.,P:\Photos\Climbing Survey 2014\NTBN21.JPG,5.9,0,1,Rappel/Lower,No,trad,NTBN21
-108.6590201,39.04492876,85,Unknown2,Monument Bench,1,2,Bolted rap anchor visible.,P:\Photos\Climbing Survey 2014\MBTE11.JPG,5.9,2,2,Rappel/Lower,Yes,trad,MBTE11
-108.7135832,39.08534771,160,Chimney Route,Monument Canyon Trail,1,2,2 sets of anchors,P:\Photos\Climbing Survey 2014\MCTN12.JPG,5.9,4,2,Rappel/Lower,Yes,trad,MCTN12
-108.7333686,39.11642854,50,Ballarina,Hike From Road,2,1,"Bolted anchor with webbing visible, dihedral",P:\Photos\Climbing Survey 2014\FCBN02.JPG,5.9,0,1,Rappel/Lower,Yes,trad,FCBN02
-108.6319047,39.02382795,55,Big Horn,Devils Kitchen Trail,1,1,,P:\Photos\Climbing Survey 2014\DKTE06.JPG,5.9,0,1,Walk off,Yes,trad,DKTE06
-108.721857,39.11160656,225,Remnants Tower-Squeezebox,Walked From Road,5,3,2 anchor sets,P:\Photos\Climbing Survey 2014\WCTN11.JPG,5.9,4,1,Rappel/Lower,Yes,trad,WCTN11
-108.7218604,39.11161751,225,Queen And Her Jewels,Walked From Road,3,3,Only one anchor set visible,P:\Photos\Climbing Survey 2014\WCTN12.JPG,5.9,2,1,Rappel/Lower,Yes,trad,WCTN12
-108.6317367,39.02561547,75,Chimney Climb,Devils Kitchen Trail,2,1,,,5.9,2,1,Rappel/Lower,Yes,trad,DKTS04
-108.6289995,39.02508864,40,Forbidden  Zone,Devils Kitchen Trail,1,1,,,5.9,2,1,Walk off,No,trad,DKTE08
-108.6447721,39.02669879,95,Hershey Kiss,No Thoroughfare Trail,1,1,1 Set of Anchors,,5.9,2,1,Rappel/Lower,Yes,trad,NTBE28
-108.7191809,39.08837776,250,Airport Tower,Monument Trail,1,2,Holes from chopped anchors,,5.9,0,1,Rappel/Lower,Yes,trad,MCTW22
-108.6992579,39.09101291,300,Irishmans Temple -The Cleansing,Gold Star Canyon Trail,1,3,3 sets of anchors. 3 protection bolt visible,P:\Photos\Climbing Survey 2014\MBBN01.JPG,5.10 A2+,6,3,Rappel/Lower,Yes,aid,MBBN01
-108.6627026,39.01348945,100,Silent Witness,No Thoroughfare Trail,1,1,2 bolts anchor visible. webbing.,P:\Photos\Climbing Survey 2014\NTBE17.JPG,5.10 A1,2,1,Rappel/Lower,Yes,aid,NTBE17
-108.6774832,39.06978877,200,Unknown,Liberty Cap To Monument Bench,1,2,One anchor station with a drilled angle and webbing,P:\Photos\Climbing Survey 2014\TTTE02.JPG,5.10 A1,2,1,Rappel/Lower,Yes,aid,TTTE02
-108.7352731,39.11166295,300,Tunnel Vision,Road,2,4,"Sling on tree at top. bolts visible, unknown amount",P:\Photos\Climbing Survey 2014\FCBS14.JPG,5.10 A1+,6,3,Rappel/Lower,Yes,aid,FCBS14
-108.7065742,39.04006216,350,Unknown01,Upper Ute,1,3,1st pitch bolted anchor 5 bolts on 2nd pitch,P:\Photos\Climbing Survey 2014\UTBS01.JPG,5.10 A2,4,3,Rappel/Lower,unknown,aid,UTBS01
-108.7182525,39.08943732,360,"Excellent Ride, Kissing Couple Ne Offwidth",Monument Trail,3,3,"2 sets of anchors,",P:\Photos\Climbing Survey 2014\MCTE04.JPG,5.10 A3,0,4,Rappel/Lower,Yes,aid,MCTE04
-108.7230021,39.09576048,500,Red Desert,Monument Canyon Trail,1,5,Drilled angle for anchors x4,P:\Photos\Climbing Survey 2014\MCBN48.JPG,5.10 A4+,8,4,Rappel/Lower,Yes,aid,MCBN48
-108.7257976,39.09903621,275,Carter Route,Rappel In,1,3,,P:\Photos\Climbing Survey 2014\WCTN04.JPG,5.10 C1+,2,2,Rappel/Lower,Yes,aid,WCTN04
-108.7005886,39.03550266,400,Angular Motion,Upper Ute,1,5,Two drilled angle anchor for 4 pitches. 7 drilled angle for protection t,P:\Photos\Climbing Survey 2014\UTBS07.JPG,5.10 C2,8,3,Rappel/Lower,Yes,aid,UTBS07
-108.7230291,39.09575117,500,South Face Direct,Monument Canyon Trail,1,5,Lots of bolts and drilled angle for anchors and protection about 15,P:\Photos\Climbing Survey 2014\MCBN47.JPG,5.10 C3,10,3,Rappel/Lower,Yes,aid,MCBN47
-108.7035389,39.10091939,100,Born To Be Wild,Monument Canyon Trail,1,0,2 drilled angle for protection visible and 2 for top anchor,P:\Photos\Climbing Survey 2014\MCBS01.JPG,5.10-,4,1,Rappel/Lower,Yes,mixed,MCBS01
-108.6671344,39.0566968,70,Leprechaun,Liberty Cap,2,1,Anchors same as irish pride,P:\Photos\Climbing Survey 2014\LCBN02.JPG,5.10-,0,1,Rappel/Lower,Yes,trad,LCBN02
-108.6668751,39.05646002,65,Stonehenge,Liberty Cap,3,1,2 bolts and chains,P:\Photos\Climbing Survey 2014\LCBN04.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,LCBN04
-108.6845093,39.07632803,65,Dirty Martini,Liberty Cap To Monument Bench,5,1,Two bolts and chains 65ft,P:\Photos\Climbing Survey 2014\MBBE09.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,MBBE09
-108.6844679,39.07637395,50,Short Cupped Hands,Liberty Cap To Monument Bench,5,1,Two bolts and chains 50ft,P:\Photos\Climbing Survey 2014\MBBE10.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,MBBE10
-108.685028,39.07713518,105,First Impression,Liberty Cap To Monument Bench,3,1,Two bolts 105ft,P:\Photos\Climbing Survey 2014\MBBE16.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,MBBE16
-108.6852185,39.07721334,70,Slaughter Fist,Liberty Cap To Monument Bench,2,1,Webbing around chock stone for rappel,P:\Photos\Climbing Survey 2014\MBBE17.JPG,5.10-,0,1,Rappel/Lower,No,trad,MBBE17
-108.6633202,39.01358386,65,Red Iguana,No Thoroughfare Trail,1,1,2 bolts and chains,P:\Photos\Climbing Survey 2014\NTBE23.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,NTBE23
-108.7333686,39.1164306,50,Taper,Hike From Road,2,1,Bolted anchor with webbing visible,P:\Photos\Climbing Survey 2014\FCBN01.JPG,5.10-,2,1,Rappel/Lower,Yes,trad,FCBN01
-108.7490338,39.11420775,350,Split Decision,Kodel's Canyon Trail,3,3,"3 pitons and bolt for protection, 3 sets of bolted anchor.",P:\Photos\Climbing Survey 2014\KCBE02.JPG,5.10-,6,2,Rappel/Lower,Yes,trad,KCBE02
-108.6317135,39.02545938,65,Future Reference,Devils Kitchen Trail,2,1,Shares anchor with last taco,P:\Photos\Climbing Survey 2014\DKTW03.JPG,5.10-,0,1,Rappel/Lower,Yes,trad,DKTW03
-108.6846742,39.07615723,100,100Ft Of Hands,Liberty Cap To Monument Bench,5,1,Two bolt anchor,P:\Photos\Climbing Survey 2014\MBBE20.JPG,5.10-,0,1,Rappel/Lower,Yes,trad,MBBE20
-108.6667428,39.05602856,200,Liberty Cap Tower,Liberty Cap,1,2,"Anchors of steppin on it, and another set of anchors after 2nd pitch",P:\Photos\Climbing Survey 2014\LCBN10.JPG,5.10- C1,2,1,Rappel/Lower,Yes,aid,LCBN10
-108.6586865,39.04462618,250,Unknown,Monument Bench,1,2,Rap anchor visible. 3 protection bolt visible,P:\Photos\Climbing Survey 2014\MBTE10.JPG,5.10+,4,2,Rappel/Lower,Yes,mixed,MBTE10
-108.6671169,39.05672148,60,Irish Pride,Liberty Cap,2,1,6 bolts. Anchors,P:\Photos\Climbing Survey 2014\LCBN01.JPG,5.10+,2,1,Rappel/Lower,Yes,sport,LCBN01
-108.6667006,39.05557818,100,F/S,Liberty Cap,1,1,2 bolts and chains for anchors,P:\Photos\Climbing Survey 2014\LCBE11.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,LCBE11
-108.6674919,39.05579867,80,St. Patrick's Day Massacre,Liberty Cap,3,1,2 bolted anchor with chains,P:\Photos\Climbing Survey 2014\LCBS16.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,LCBS16
-108.6675037,39.05582224,60,Double Jeoprady,Liberty Cap,3,1,2 bolted anchor with chains,P:\Photos\Climbing Survey 2014\LCBS17.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,LCBS17
-108.6680394,39.05597661,100,Beauty And The Beast,Liberty Cap,2,1,2 bolt anchor with chains,P:\Photos\Climbing Survey 2014\LCBE19.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,LCBE19
-108.6787519,39.06726263,80,Unknown,Liberty Cap To Monument Bench,1,1,Two bolts at top,P:\Photos\Climbing Survey 2014\TTBE01.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,TTBE01
-108.6774318,39.06807096,90,Arching Roof,Liberty Cap To Monument Bench,3,1,Two bolts at top,P:\Photos\Climbing Survey 2014\TTBE05.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,TTBE05
-108.6777065,39.06955801,350,Way Bazaar,Liberty Cap To Monument Bench,2,2,Two anchor station with new and old bolts. webbing.,P:\Photos\Climbing Survey 2014\TTTE01.JPG,5.10+,4,1,Rappel/Lower,Yes,trad,TTTE01
-108.6810075,39.07102654,100,Unknown 1,Liberty Cap To Monument Bench,3,1,Two bolts anchor 100ft,P:\Photos\Climbing Survey 2014\MBBE01.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,MBBE01
-108.6846153,39.07676805,75,The Sickle,Liberty Cap To Monument Bench,3,1,Two bolts and chains 75ft,P:\Photos\Climbing Survey 2014\MBBE13.JPG,5.10+,2,1,Rappel/Lower,Yes,trad,MBBE13
